Chocolate Bar
Milk Chocolate (Sugar, Chocolate, Cocoa Butter, Skim Milk, Lactose, Milkfat, Soy Lecithin), Sugar, Corn Syrup, Hydrogenated Palm Kernel Oil and/or Palm Oil, less than 2% - Cocoa Powder processed with Alkali, Salt, Egg Whites, Artificial and Natural Flavors.
Soft Croissant Chocolate
Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Margarine [Vegetable Oil (Palm, Sunflower and Cottonseed), Mono-Diglycerides, Salt, Potassium Sorbate, Citric Acid, Flavor], Sugar, Palm Oil, Monoglycerides, Cocoa Powder, Egg Yolks, Skim Milk, Yeast, Corn Syrup, Glaze (Milk Protein, Soy Lecithin, Xanthan Gum), Vegetable Oil (Soybean or Palm Oil), Vanillin, Calcium Propionate, Salt, Potassium Sorbate, Sodium Alginate, Wheat Gluten.
Dark Chocolate with Strawberry Candy
DARK CHOCOLATE (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN [AN EMULSIFIER], VANILLA), GLAZED QUINOA (CANE SUGAR, QUINOA, AGAVE SYRUP, RICE SYRUP, SALT), RASPBERRY, SEA SALT, ORGANIC NONFAT DRY MILK.'
Dark Chocolate Thins Pineapple Toasted Coconut
DARK CHOCOLATE (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN [AN EMULSIFIER], VANILLA), TOASTED COCONUT (COCONUT, SUGAR, SALT), PINEAPPLE, SEA SALT, ORGANIC NONFAT DRY MILK.
AIRHEADS FRUIT
Sugar, glucose syrup, maltodextrin, dextrose, hyrdrogenated coconut oil, contains less than 2% of the following: citric acid, modified corn starch, gelatin, sorbitol, artificial flavors, glycerol, carnauba wax, beeswax, shellac, gum arabic, dextrin, red 40, yellow 5, yellow 6, blue 1.
Airheads Soft Filled Bites
sugar, glucose syrup, corn starch, high fructose corn syrup, food starch - modified (potato), citric acid; contains less than 2% of: dextrose, malic acid, lactic acid, gelatin, hydrogenated palm oil, artificial flavors, fumaric acid, artificial colors, glycerol, soribitol, salt, blue 1, red 40, yellow 6, yellow 5
Sweetly Sour Candy Rainbow Berry
